127.0.0.1 - - [05/Apr/2024:12:15:22 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Apr/2024:12:15:23 +0530] "GET /Spring-mvc/ HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [05/Apr/2024:12:15:23 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Apr/2024:12:15:25 +0530] "GET /Spring-mvc/Login;jsessionid=E8FDDEF24387130DAFB644D6086F70DB HTTP/1.1" 200 1643
0:0:0:0:0:0:0:1 - - [05/Apr/2024:12:15:30 +0530] "POST /Spring-mvc/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2024:12:15:30 +0530] "GET /Spring-mvc/Welcome HTTP/1.1" 200 1235
0:0:0:0:0:0:0:1 - - [05/Apr/2024:12:15:33 +0530] "GET /Spring-mvc/ctl/User/search HTTP/1.1" 200 4516
0:0:0:0:0:0:0:1 - - [05/Apr/2024:12:15:35 +0530] "POST /Spring-mvc/ctl/User/search HTTP/1.1" 200 4516
0:0:0:0:0:0:0:1 - - [05/Apr/2024:12:15:36 +0530] "POST /Spring-mvc/ctl/User/search HTTP/1.1" 200 4516
0:0:0:0:0:0:0:1 - - [05/Apr/2024:12:15:37 +0530] "POST /Spring-mvc/ctl/User/search HTTP/1.1" 200 3722
0:0:0:0:0:0:0:1 - - [05/Apr/2024:12:15:38 +0530] "POST /Spring-mvc/ctl/User/search HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [05/Apr/2024:12:15:40 +0530] "POST /Spring-mvc/ctl/User/search HTTP/1.1" 200 3722
0:0:0:0:0:0:0:1 - - [05/Apr/2024:12:15:41 +0530] "POST /Spring-mvc/ctl/User/search HTTP/1.1" 200 4516
0:0:0:0:0:0:0:1 - - [05/Apr/2024:12:15:43 +0530] "POST /Spring-mvc/ctl/User/search HTTP/1.1" 200 4516
0:0:0:0:0:0:0:1 - - [05/Apr/2024:12:15:43 +0530] "POST /Spring-mvc/ctl/User/search HTTP/1.1" 200 4517
0:0:0:0:0:0:0:1 - - [05/Apr/2024:12:19:19 +0530] "GET /Spring-mvc/ctl/User/search HTTP/1.1" 200 4535
0:0:0:0:0:0:0:1 - - [05/Apr/2024:12:19:21 +0530] "POST /Spring-mvc/ctl/User/search HTTP/1.1" 200 3722
0:0:0:0:0:0:0:1 - - [05/Apr/2024:12:19:23 +0530] "POST /Spring-mvc/ctl/User/search HTTP/1.1" 200 4535
